time_s,ascending_aorta_pressure_mmHg,ascending_aorta_flow_ml_s,aortic_arch_pressure_mmHg,descending_aorta_pressure_mmHg,descending_aorta_flow_ml_s,ivc_pressure_mmHg,ivc_flow_ml_s,svc_pressure_mmHg,svc_flow_ml_s,rpa_pressure_mmHg,rpa_flow_ml_s,lpa_pressure_mmHg,lpa_flow_ml_s,ventricle_volume_ml,mitral_valve_flow_ml_s,pulmonary_inflow_qin5_ml_s,ventricle_pressure_mmHg,atrium_pressure_mmHg,atrium_volume_ml
0.7450000000000001,42.8654466361659,-0.00203302,42.86537163429085,42.880972024300604,-6.186100000000001,8.923198079951998,17.656,8.704792619815494,10.0597,8.757593939848496,23.8196,8.262881572039301,14.779900000000001,70.667588,55.102012,38.599454,3.910858,4.661951,17.657304
0.746,42.85727143178579,-0.00203314,42.85719642991074,42.87279681992049,-6.18271,8.91187279681992,17.657200000000003,8.706592664816618,9.83525,8.738393459836495,23.7543,8.251631290782269,14.766000000000002,70.722909,55.533831,38.520292,3.914453,4.653958,17.640546
0.7470000000000001,42.84909622740568,-0.0020332600000000003,42.84909622740568,42.864621615540386,-6.179320000000001,8.89957248931223,17.6583,8.708092702317558,9.668479999999999,8.71784294607365,23.6824,8.238130953273831,14.7439,70.778658,55.957555,38.426335,3.918077,4.645799,17.623273
0.748,42.84099602490062,-0.00203338,42.840921023025565,42.856521413035324,-6.17593,8.886222155553888,17.6598,8.709292732318307,9.5589,8.696392409810244,23.606,8.22253056326408,14.7144,70.834826,56.372914,38.320402,3.921727,4.637473,17.605481
0.7490000000000001,42.8328208205205,-0.0020335,42.83274581864546,42.848346208655215,-6.17255,8.87174679366984,17.662100000000002,8.71019275481887,9.50461,8.674341858546462,23.527400000000004,8.205130128253206,14.678500000000001,70.891406,56.779638,38.20586,3.925405,4.628981,17.587167
0.75,42.8246456161404,-0.00203361,42.824570614265355,42.840171004275106,-6.16917,8.856146403660091,17.665399999999998,8.710792769819244,9.50234,8.652216305407634,23.448999999999998,8.18630465761644,14.637500000000001,70.948387,57.177464,38.086482,3.929108,4.620325,17.568334
0.7510000000000001,42.81647041176029,-0.00203373,42.816395409885246,42.832070801770044,-6.16579,8.83934598364959,17.669600000000003,8.71116777919448,9.54748,8.630390759768995,23.3733,8.166429160729017,14.592900000000002,71.005762,57.566131,37.966284,3.932837,4.611507,17.548987
0.752,42.80837020925523,-0.0020338500000000002,42.80829520738018,42.82389559738993,-6.162420000000001,8.821420535513388,17.674699999999998,8.711317782944572,9.63429,8.609240231005774,23.3029,8.145803645091126,14.546500000000002,71.063521,57.945387,37.849343,3.936592,4.602532,17.529137
0.7530000000000001,42.80019500487512,-0.00203396,42.80012000300007,42.81572039300982,-6.159050000000001,8.80237005925148,17.680500000000002,8.711242781069526,9.75623,8.589289732243305,23.240000000000002,8.124953123828094,14.4996,71.121655,58.314985,37.739611,3.94037,4.593406,17.508799
0.754,42.792019800495005,-0.0020340700000000002,42.79194479861996,42.80762019050476,-6.155690000000001,8.782269556738918,17.686700000000002,8.711017775444386,9.90629,8.57091427285682,23.1869,8.104252606315157,14.453800000000001,71.180153,58.674691,37.64073,3.944172,4.584137,17.487992
0.7550000000000001,42.78391959798995,-0.00203419,42.783844596114896,42.79944498612465,-6.15233,8.761119027975697,17.6933,8.710642766069151,10.077399999999999,8.554413860346507,23.1456,8.0840021000525,14.410300000000001,71.239006,59.024279,37.555855,3.947997,4.574733,17.466738
0.756,42.775744393609834,-0.0020343,42.77566939173479,42.791344783619586,-6.14897,8.739068476711918,17.700100000000003,8.71019275481887,10.263,8.540013500337508,23.1173,8.064426610665267,14.3702,71.298203,59.363533,37.487508,3.951845,4.565204,17.445064
0.7570000000000001,42.76764419110477,-0.00203441,42.767569189229725,42.78316957923948,-6.1456100000000005,8.716342908572715,17.7071,8.709667741693542,10.4571,8.52793819845496,23.102899999999998,8.045901147528687,14.3345,71.357734,59.692252,37.437458,3.955714,4.555561,17.422995
0.758,42.75946898672466,-0.00203452,42.759393984849616,42.775069376734415,-6.14226,8.692942323558087,17.7144,8.709142728568214,10.6547,8.518187954698867,23.102700000000002,8.02857571439286,14.3039,71.417588,60.010246,37.406652,3.959604,4.545814,17.400564
0.7590000000000001,42.7513687842196,-0.00203463,42.751293782344554,42.76696917422935,-6.13891,8.669241731043275,17.7221,8.708542713567837,10.8523,8.51068776719418,23.116300000000003,8.012525313132826,14.2789,71.477755,60.317339,37.39519,3.963515,4.535974,17.377798
0.76,42.74319357983949,-0.00203474,42.743118577964445,42.75879396984924,-6.13556,8.645241131028275,17.730100000000004,8.70801770044251,11.0473,8.50536263406585,23.1427,7.997899947498686,14.2597,71.538224,60.613367,37.402356,3.967445,4.526051,17.354729
0.7610000000000001,42.73509337733443,-0.00203485,42.73501837545938,42.75069376734418,-6.132210000000001,8.621240531013274,17.7386,8.707492687317183,11.2385,8.501837545938647,23.1803,7.984699617490436,14.2464,71.598983,60.898181,37.426698,3.971395,4.516055,17.331386
0.762,42.72691817295432,-0.00203496,42.72691817295432,42.742518562964065,-6.128870000000001,8.597389934748367,17.7475,8.706967674191855,11.4257,8.499887497187428,23.2272,7.97284932123303,14.239,71.660021,61.171641,37.466143,3.975362,4.505994,17.307795
0.7630000000000001,42.71881797044926,-0.00203506,42.718742968574205,42.734418360459,-6.12552,8.57383934598365,17.7566,8.706442661066525,11.6098,8.499062476561914,23.281200000000002,7.962349058726467,14.237,71.721327,61.43362,37.518148,3.979347,4.495876,17.283983
0.764,42.710717767944196,-0.00203517,42.71064276606914,42.72631815795394,-6.12218,8.55073876846921,17.7657,8.705917647941197,11.792200000000001,8.498987474686867,23.3399,7.953048826220655,14.2399,71.78289,61.684001,37.579871,3.983348,4.485706,17.259972
0.7650000000000001,42.70254256356408,-0.00203528,42.70254256356408,42.71821795544888,-6.1188400000000005,8.528313207830195,17.774700000000003,8.70539263481587,11.9748,8.4993624840621,23.4012,7.9447236180904515,14.2471,71.844696,61.922674,37.648338,3.987365,4.475489,17.235782
0.766,42.69444236105902,-0.0020353800000000003,42.69436735918397,42.71004275106877,-6.115500000000001,8.506562664066601,17.7832,8.704867621690541,12.1597,8.499737493437335,23.463,7.937223430585764,14.257700000000002,71.906736,62.149538,37.720609,3.991398,4.465226,17.211429
0.7670000000000001,42.686342158553956,-0.00203549,42.68626715667891,42.70194254856371,-6.11216,8.485862146553664,17.791,8.704267606690166,12.349300000000001,8.499737493437335,23.5232,7.930323258081451,14.270700000000001,71.968996,62.364497,37.793918,3.995444,4.454919,17.186929
0.768,42.6782419560489,-0.00203559,42.67816695417385,42.693842346058645,-6.108820000000001,8.466136653416335,17.798000000000002,8.703667591689792,12.546100000000001,8.499287482187054,23.5805,7.9236480912022795,14.285300000000001,72.031466,62.567458,37.865789,3.999505,4.444565,17.162292
